customer_id,segment,R,F,M,RFM_score,recency,frequency,monetary,ticket_count,avg_sentiment,return_rate,avg_discount,sessions_30d,last_campaign_received,manual_priority_bucket
CUST00001,At-Risk,2,5,4,11,107,6,2955.57,2.0,0.14,0.16666666666666666,0.36333333333333334,1,welcome_offer,high
CUST00002,New / Low-Engagement,4,1,1,6,40,1,581.0,1.0,0.0,0.0,0.23,8,free_shipping,medium
CUST00003,New / Low-Engagement,1,1,1,3,171,1,649.98,0.0,,0.0,0.47,1,none,high
CUST00004,New / Low-Engagement,2,1,3,6,131,1,1604.04,0.0,,0.0,0.16,1,free_shipping,high
CUST00005,Loyal Customers,4,3,3,10,38,4,2550.91,1.0,-1.0,0.0,0.4425,18,welcome_offer,medium
CUST00006,High-Value Unhappy,3,4,4,11,51,5,3770.16,2.0,-0.68,0.2,0.358,2,none,medium
CUST00007,New / Low-Engagement,5,1,1,7,3,1,719.33,0.0,,0.0,0.18,11,free_shipping,low
CUST00008,Loyal Customers,3,3,4,10,47,4,2747.33,1.0,0.08,0.0,0.2225,2,bundle_discount,medium
CUST00009,New / Low-Engagement,4,1,1,6,31,1,376.85,0.0,,0.0,0.49,11,none,low
CUST00010,New / Low-Engagement,5,1,1,7,9,1,636.8,0.0,,0.0,0.45,13,none,low
CUST00011,New / Low-Engagement,5,2,2,9,1,2,925.0699999999999,0.0,,0.0,0.15500000000000003,10,new_launch,low
CUST00012,New / Low-Engagement,3,2,3,8,50,2,2051.63,1.0,-0.12,0.0,0.29500000000000004,3,none,medium
CUST00013,Loyal Customers,3,3,3,9,61,3,1754.44,1.0,-1.0,0.0,0.23,4,free_shipping,medium
CUST00014,High-Value Unhappy,3,5,5,13,51,11,8130.16,2.0,-0.245,0.0,0.2618181818181818,11,bundle_discount,medium
CUST00015,Loyal Customers,4,3,5,12,35,4,4200.93,0.0,,0.0,0.3025,6,none,low
CUST00016,New / Low-Engagement,1,1,1,3,215,1,478.02,1.0,0.37,0.0,0.22,2,welcome_offer,high
CUST00017,At-Risk,1,3,3,7,286,3,1699.1399999999999,0.0,,0.0,0.26666666666666666,4,bundle_discount,high
CUST00018,New / Low-Engagement,2,1,1,4,111,1,329.21,0.0,,0.0,0.36,3,new_launch,high
CUST00019,New / Low-Engagement,5,2,3,10,9,2,1598.93,0.0,,0.0,0.105,5,free_shipping,low
CUST00020,At-Risk,1,3,5,9,368,3,4487.950000000001,1.0,-0.95,0.0,0.13,0,welcome_offer,high
CUST00021,Discount-Sensitive,3,2,2,7,77,2,1059.3,1.0,-0.85,0.0,0.435,3,new_launch,high
CUST00022,New / Low-Engagement,4,1,1,6,29,1,454.06,0.0,,0.0,0.31,10,welcome_offer,low
CUST00023,New / Low-Engagement,4,1,1,6,21,1,400.98,0.0,,0.0,0.25,3,welcome_offer,low
CUST00024,New / Low-Engagement,5,1,1,7,4,1,481.35,0.0,,0.0,0.34,13,new_launch,low
CUST00025,At-Risk,1,5,5,11,165,7,4868.86,3.0,-0.22666666666666668,0.0,0.31142857142857144,11,new_launch,high
CUST00026,Loyal Customers,3,3,4,10,72,3,3561.3900000000003,1.0,-0.63,0.3333333333333333,0.16333333333333333,14,none,medium
CUST00027,New / Low-Engagement,3,1,3,7,70,1,2128.34,1.0,-0.13,1.0,0.3,11,free_shipping,medium
CUST00028,New / Low-Engagement,3,2,2,7,83,2,1489.7800000000002,1.0,0.39,0.0,0.19,1,free_shipping,high
CUST00029,Champions,5,5,5,15,18,8,5252.9,0.0,,0.0,0.23374999999999999,1,free_shipping,low
CUST00030,Champions,5,5,4,14,5,6,3435.5899999999997,2.0,-0.41500000000000004,0.0,0.34,11,free_shipping,medium
CUST00031,New / Low-Engagement,3,1,1,5,49,1,672.95,0.0,,0.0,0.24,6,new_launch,medium
CUST00032,Loyal Customers,4,3,3,10,33,3,1948.75,0.0,,0.0,0.3666666666666667,12,bundle_discount,low
CUST00033,High-Value Unhappy,5,3,3,11,12,4,2128.09,2.0,-0.94,0.5,0.405,7,welcome_offer,medium
CUST00034,High-Value Unhappy,3,5,4,12,50,6,3353.01,3.0,-0.22999999999999998,0.0,0.26166666666666666,7,welcome_offer,medium
